corp_code,bsns_year,rcept_no,rcept_dt
00104698,2024,20250319001010,2025-03-19
00105101,2025,20260310002563,2026-03-10
00109806,2021,20220321001521,2022-03-21
00111218,2025,20260323001731,2026-03-23
00114154,2021,20220321001333,2022-03-21
00117708,2022,20230323001389,2023-03-23
00117966,2023,20240321001243,2024-03-21
00125646,2023,20240321001591,2024-03-21
00126089,2024,20250401000004,2025-03-31
00126089,2025,20260331004983,2026-03-31
00126201,2025,20260319001154,2026-03-19
00140052,2024,20250305000056,2025-03-05
00141671,2022,20230321001549,2023-03-21
00145437,2023,20240320001843,2024-03-20
00147222,2025,20260319000974,2026-03-19
00153861,2023,20240320001781,2024-03-20
00155586,2025,20260313000003,2026-03-13
00156691,2025,20260318001058,2026-03-18
00156956,2021,20220321000571,2022-03-21
00159193,2022,20230320001084,2023-03-20
00159209,2025,20260323000234,2026-03-23
00164742,2021,20220316001052,2022-03-16
00170877,2021,20220318001079,2022-03-18
00176914,2023,20240320001719,2024-03-20
00180865,2022,20230322001167,2023-03-22
00180865,2023,20240320001267,2024-03-20
00185046,2021,20220323000859,2022-03-23
00186939,2025,20260323001285,2026-03-23
00204642,2022,20230315001317,2023-03-15
00204642,2024,20250320000674,2025-03-20
00231372,2021,20220317000948,2022-03-17
00232007,2021,20220323001270,2022-03-23
00232007,2024,20250321001587,2025-03-21
00238782,2023,20240321001853,2024-03-21
00249982,2022,20230323001409,2023-03-23
00261285,2023,20240320002056,2024-03-20
00263654,2022,20230317000843,2023-03-17
00295857,2022,20230323001218,2023-03-23
00304076,2023,20240318000922,2024-03-18
00304076,2025,20260319000905,2026-03-19
00306162,2021,20220321001249,2022-03-21
00306719,2021,20220315001148,2022-03-15
00313649,2021,20220321001464,2022-03-21
00325112,2021,20220321001424,2022-03-21
00325112,2023,20240319000850,2024-03-19
00367844,2022,20230316001505,2023-03-16
00367844,2023,20240321000532,2024-03-21
00378220,2022,20230407002564,2023-04-07
00389998,2024,20250318000911,2025-03-18
00399694,2024,20250320001172,2025-03-20
00405278,2021,20220315001248,2022-03-15
00483735,2021,20220322001150,2022-03-22
00527491,2025,20260323001738,2026-03-23
00542898,2022,20230313000939,2023-03-14
00544577,2021,20220318000277,2022-03-18
00545734,2025,20260323001369,2026-03-23
00555874,2021,20220316000003,2022-03-16
00557508,2022,20230321000076,2023-03-21
00627029,2023,20240321000410,2024-03-21
00628860,2021,20220316001366,2022-03-16
00755739,2022,20230320000556,2023-03-20
00959229,2024,20250407004180,2025-04-07
00961774,2024,20250321001588,2025-03-21
00977650,2021,20220321001433,2022-03-21
00977650,2023,20240405003842,2024-04-05
00994994,2023,20240408004080,2024-04-08
00995993,2021,20220322000979,2022-03-22
00995993,2022,20230321001319,2023-03-21
01020843,2022,20230321001377,2023-03-21
01025644,2021,20220316001414,2022-03-16
01031229,2023,20240401003960,2024-04-01
01047840,2022,20230314001303,2023-03-15
01049167,2024,20250321001931,2025-03-21
01049422,2022,20230322000655,2023-03-22
01051092,2021,20220330001838,2022-03-31
01099667,2023,20240328001882,2024-03-28
01110182,2023,20240321001815,2024-03-21
01136001,2025,20260323001511,2026-03-23
01150515,2022,20230323001379,2023-03-23
01182550,2025,20260407003694,2026-04-08
01256864,2023,20240314001204,2024-03-14
01259232,2022,20230316000893,2023-03-16
01259418,2024,20250321001796,2025-03-21
01267684,2021,20220322001148,2022-03-22
01274310,2024,20250324000004,2025-03-24
01276026,2021,20220321001379,2022-03-21
01290248,2021,20220323000018,2022-03-23
01290248,2022,20230322001208,2023-03-22
01310269,2022,20230316001400,2023-03-16
01310269,2023,20240320002042,2024-03-20
01387164,2023,20240321001931,2024-03-21
01488320,2025,20260316001432,2026-03-16
01492217,2025,20260319001164,2026-03-19
01494118,2021,20220322001033,2022-03-22
01494118,2022,20230321000971,2023-03-21
