corp_code,bsns_year,rcept_no,status,n_fields_found,composite_current,composite_original,is_flagged_original,original_accounts_json,top_contributors_original
00104698,2024,20250319001010,정상,12,10.716471280891815,10.65886094458847,1,"{""revenue"": 1933813959649.0, ""cogs"": 1650128917846.0, ""operating_income"": 25619240717.0, ""sga"": 258065801086.0, ""interest_expense"": 25501802767.0, ""net_income"": -31890828301.0, ""trade_receivables"": 32899634646.0, ""inventory"": 93467799320.0, ""total_assets"": 9601505118160.0, ""total_liabilities"": 8670672911334.0, ""total_equity"": 930832206826.0, ""operating_cf"": -777178453615.0}","[[""revenue_growth"", 13.727871524678681], [""receivables_turnover"", 10.397177040265412], [""debt_ratio"", 7.851534268821317]]"
00105101,2025,20260310002563,정상,12,5.1299033368842055,5.424818334402204,1,"{""revenue"": 1327599497000.0, ""cogs"": 1071473292000.0, ""operating_income"": 111715072000.0, ""sga"": 144411133000.0, ""interest_expense"": 12456829000.0, ""net_income"": 86715394000.0, ""trade_receivables"": 211463271000.0, ""inventory"": 1669597000.0, ""total_assets"": 1557662126000.0, ""total_liabilities"": 912265659000.0, ""total_equity"": 645396467000.0, ""operating_cf"": -70997876000.0}","[[""inventory_turnover"", 13.652803922466553], [""interest_coverage"", 1.592514574144936], [""oi_cfo_gap_ratio"", 1.029136506595124]]"
00109806,2021,20220321001521,정상,12,7.677437816108281,7.677437816108281,1,"{""revenue"": 226606277092.0, ""cogs"": 188771720430.0, ""operating_income"": 13578850935.0, ""sga"": 24255705727.0, ""interest_expense"": 143510810.0, ""net_income"": -3063083815.0, ""trade_receivables"": 51625095827.0, ""inventory"": 44541153820.0, ""total_assets"": 351874250938.0, ""total_liabilities"": 74842756530.0, ""total_equity"": 277031494408.0, ""operating_cf"": -10858345441.0}","[[""interest_coverage"", 20.00816107797098], [""oi_cfo_gap_ratio"", 1.9219894053936286], [""total_accruals_ratio"", 1.1021629649602371]]"
00111218,2025,20260323001731,정상,12,5.963793068850664,5.53833664813681,1,"{""revenue"": 27787097614.0, ""cogs"": 22089759877.0, ""operating_income"": -4267410006.0, ""sga"": 9964747743.0, ""interest_expense"": 6883896312.0, ""net_income"": -25587129332.0, ""trade_receivables"": 4253083496.0, ""inventory"": 129140440041.0, ""total_assets"": 302089443402.0, ""total_liabilities"": 287980118906.0, ""total_equity"": 14109324496.0, ""operating_cf"": -11701200606.0}","[[""debt_ratio"", 7.777766839765023], [""receivables_turnover"", -5.897598025700734], [""sga_ratio"", 2.9396450789446753]]"
00114154,2021,20220321001333,정상,12,7.946937862344886,7.946937862344886,1,"{""revenue"": 1348236914736.0, ""cogs"": 1319859711624.0, ""operating_income"": 6261100580.0, ""sga"": 22116102532.0, ""interest_expense"": 3529673525.0, ""net_income"": 1602088914.0, ""trade_receivables"": 191650573155.0, ""inventory"": 15180082688.0, ""total_assets"": 523564265414.0, ""total_liabilities"": 459786677968.0, ""total_equity"": 63777587446.0, ""operating_cf"": 37206113382.0}","[[""inventory_turnover"", 18.988888143603397], [""debt_ratio"", 3.378300669457927], [""sga_ratio"", -1.4736247739733346]]"
00117708,2022,20230323001389,정상,10,17.177616580668715,17.278117734555135,1,"{""revenue"": 647773386850.0, ""cogs"": 588435927509.0, ""operating_income"": 59337459341.0, ""sga"": null, ""interest_expense"": null, ""net_income"": 31981177201.0, ""trade_receivables"": 2868433185.0, ""inventory"": 1621178856.0, ""total_assets"": 1209091092275.0, ""total_liabilities"": 782639271893.0, ""total_equity"": 426451820382.0, ""operating_cf"": 147248412557.0}","[[""inventory_turnover"", 29.760471556649673], [""receivables_turnover"", 20.076628857591295], [""oi_cfo_gap_ratio"", -1.9972527894244398]]"
00117966,2023,20240321001243,정상,12,21.751217278102924,21.69991664414321,1,"{""revenue"": 736557428431.0, ""cogs"": 681982025763.0, ""operating_income"": 30000134277.0, ""sga"": 24575268391.0, ""interest_expense"": 193742343.0, ""net_income"": 42550272755.0, ""trade_receivables"": 179345350083.0, ""inventory"": 662493577623.0, ""total_assets"": 1430301878907.0, ""total_liabilities"": 394698273429.0, ""total_equity"": 1035603605478.0, ""operating_cf"": -75591044350.0}","[[""interest_coverage"", -62.415830878500934], [""total_accruals_ratio"", 1.4544554538223533], [""oi_cfo_gap_ratio"", 1.2294636001063446]]"
00125646,2023,20240321001591,정상,12,10.509626262155123,10.567779740759372,1,"{""revenue"": 439386985136.0, ""cogs"": 275602659818.0, ""operating_income"": 124131729083.0, ""sga"": 39652596235.0, ""interest_expense"": 1337839147.0, ""net_income"": 119380219211.0, ""trade_receivables"": 48540485898.0, ""inventory"": 41175558451.0, ""total_assets"": 740156523219.0, ""total_liabilities"": 165168410431.0, ""total_equity"": 574988112788.0, ""operating_cf"": 92156115495.0}","[[""interest_coverage"", 28.85131017785413], [""operating_margin"", 1.4376621363362383], [""gp_margin"", 1.4143669080877463]]"
00126089,2024,20250401000004,정상,12,24.839423891719193,26.58673294276554,1,"{""revenue"": 32380378302.0, ""cogs"": 29898239308.0, ""operating_income"": -7329386510.0, ""sga"": 9811525504.0, ""interest_expense"": 10420547031.0, ""net_income"": 116164342504.0, ""trade_receivables"": 11244410243.0, ""inventory"": 1436567044.0, ""total_assets"": 69586035922.0, ""total_liabilities"": 42226666124.0, ""total_equity"": 27359369798.0, ""operating_cf"": -11441313751.0}","[[""total_accruals_ratio"", 66.51327743952272], [""oi_cfo_gap_ratio"", 8.50945134207217], [""operating_margin"", 4.737470046701732]]"
00126089,2025,20260331004983,정상,10,5.532257854952426,7.3235702418644815,1,"{""revenue"": 40170942353.0, ""cogs"": 31512587077.0, ""operating_income"": 3227554944.0, ""sga"": 5430800332.0, ""interest_expense"": null, ""net_income"": 6452844080.0, ""trade_receivables"": 4557195968.0, ""inventory"": null, ""total_assets"": 51227285240.0, ""total_liabilities"": 19126231020.0, ""total_equity"": 32101054220.0, ""operating_cf"": 6030528715.0}","[[""total_accruals_ratio"", -15.139166450255114], [""operating_margin"", 4.634637147027082], [""revenue_growth"", 2.1969071283112482]]"
